 X,Y,Z,VX,VY,VZ,D,Masa,RHO
 -9.01888301041915870E-003 , -1.37154095382573324E-002 ,  1.04112336591089504E-003 ,  -728.05886089212504      ,  -772.67900150096432      ,   130.44937757959036      ,  1.64479982800580689E-002 ,  8.17116025067560550E-004 ,  1.30491315346538886E-018
  1.33306929671241914E-002 ,  1.14185778173104711E-003 ,  3.03365803954988448E-003 ,   256.38554614725393      ,   30.658121631094936      ,   286.13455080160492      ,  1.37191215199210098E-002 ,  7.75857527980734350E-004 ,  6.62926320035996349E-018
  2.81625283266561830E-003 , -6.16630437708141996E-003 ,  4.11052173839972501E-002 ,   94.058761182793987      ,  -55.723279243146912      ,   1250.0503815953352      ,  4.16604547007588533E-002 ,  5.73382761380414113E-004 ,  1.34046933657875596E-020
  2.11416586816648641E-002 , -4.31653045664331242E-003 , -6.40542644909883113E-004 ,   609.01017243729905      ,   438.83472266251920      ,  -10.179122734537954      ,  2.15873217856012156E-002 ,  1.51660570337565527E-004 ,  4.42026560912585785E-018
 -1.87048868294864799E-002 , -4.24971781434881762E-003 , -7.91568195046333557E-003 ,  -1374.5083681117260      ,  -307.71185361410431      ,  -739.25759766653221      ,  2.07506846524730740E-002 ,  8.83167434188387903E-005 ,  5.93824019680911994E-019
  3.86436636454734958E-002 , -1.06508894143177973E-002 , -4.65133264826441458E-003 ,   137.32701116204922      ,  -34.402093568332539      ,  -37.302532713450816      ,  4.03535510291885904E-002 ,  8.42082425891838146E-004 ,  1.58971637780301188E-019
 -1.81354154247520098E-002 ,  2.72615183390111371E-002 ,  1.85692855384533180E-002 ,  -91.578578542946758      ,   454.84105926114961      ,   504.33969236859315      ,  3.76417592599653239E-002 ,  4.19544187285659576E-004 ,  3.77696298704973408E-020
 -1.07074810249848328E-003 ,  4.63260559162693801E-004 , -1.75643153385185154E-003 ,  -207.89920554172022      ,  -393.85324268186304      ,   155.45611113240827      ,  2.10859279563148502E-003 ,  1.22182562789067278E-004 ,  1.32448874929800913E-016
 -1.15454132237090244E-002 ,  1.06750268880766459E-002 ,  1.11094834680550278E-003 ,  -610.67968704257953      ,   81.448259802173979      ,   133.47118521626425      ,  1.57634695354996156E-002 ,  1.44901004207471435E-004 ,  9.19402643491212895E-018
 -8.43980203750839021E-003 , -4.98354153931845206E-003 ,  6.61579447277054291E-004 ,   165.17528266755275      ,  -387.46121883539428      ,  -23.215339848735475      ,  9.82362621802675834E-003 ,  3.26062377725085215E-004 ,  7.29461750356341067E-018
 -1.35332749452151953E-003 , -1.28413100466549649E-003 , -2.70711725389671115E-003 ,  -621.58863781501270      ,   7.2897587696942887      ,  -547.18456630073445      ,  3.28770004272232541E-003 ,  2.27093426883761889E-004 ,  2.92484121645482985E-017
  2.09657707367168124E-003 , -3.37285364791488395E-003 , -8.24945385162848335E-004 ,   322.06537062608339      ,   442.45614789604286      ,   195.54769896160164      ,  4.05614497332133436E-003 ,  4.12012377781711091E-004 ,  1.92550691584820392E-015
  1.64076250022156742E-002 , -6.19750663824269066E-003 , -1.49866936154460046E-003 ,   537.20213341528017      ,   298.66553192306947      ,  -199.32720635006763      ,  1.76029899903291306E-002 ,  4.95830639064715264E-004 ,  2.13545103291807161E-018
 -9.43883416067024805E-003 , -3.54502632170083844E-003 , -3.46572700226765009E-003 ,  -544.15427573127522      ,  -338.44668544568600      ,  -206.10270239048833      ,  1.06616164622647409E-002 ,  5.67878524846808985E-004 ,  4.51385008552030525E-018
 -2.92717371123217855E-003 , -5.59117529387355254E-003 , -9.07064853961506504E-004 ,   232.30510772241507      ,  -509.12346823424343      ,   4.0108277522151070      ,  6.37591983574472068E-003 ,  3.84100709749991376E-004 ,  5.05431617349849685E-017
 -2.48521152604424481E-003 , -4.19969526628688038E-003 , -2.99145215767624047E-004 ,   298.72261180994275      ,  -250.75259908397243      ,   6.5083823685835922      ,  4.88909035700632686E-003 ,  2.61077965319612515E-004 ,  6.73413187748676665E-017
  5.23665591507386564E-004 , -1.71840486585337964E-003 , -4.54039513405329746E-004 ,   11.319829090037183      ,   248.47521094733449      ,  -79.193924220239964      ,  1.85291468083414491E-003 ,  3.64663499977335888E-004 ,  1.16698791139705752E-015
 -4.24603759787812746E-003 , -4.89142519203937033E-004 , -8.07195093132622083E-004 ,  -274.99984123836344      ,  -612.65261809921492      ,  -65.449482710166038      ,  4.34967350557087431E-003 ,  9.91012136887478665E-004 ,  3.64339236647607537E-017
  6.60205046299219096E-004 , -7.02846919072783400E-004 , -7.94882409575956169E-004 ,  -290.18290382982883      ,   409.68861941212089      ,  -240.89684762250511      ,  1.24968097523421389E-003 ,  2.95876612506626511E-004 ,  7.59520020202680218E-016
 -7.48455214326505715E-003 ,  8.45760544790937450E-003 , -2.45923894654737009E-004 ,  -307.97841579970753      ,  -96.718904984447448      ,  -37.734984882906410      ,  1.12964635731596132E-002 ,  4.08235220894420062E-004 ,  1.01548759220044001E-017
 -1.78628803282695030E-002 , -8.53465343356054999E-003 ,  2.54692644221681625E-003 ,  -185.15057626575563      ,  -501.28708714972015      ,  -87.306256629482505      ,  1.99602013305258952E-002 ,  8.26837766298977477E-004 ,  4.44250864903018140E-018
  4.98896206255453403E-003 , -6.04529792012862438E-004 , -2.76414632489584014E-003 ,  -103.26218171112539      ,  -89.175118825049907      ,  -100.39738317493446      ,  5.73547762932388044E-003 ,  5.77539296114053919E-004 ,  3.05501413552816329E-017
  5.52053961757562658E-003 , -2.23192621929620659E-003 , -3.38279451604085756E-004 ,   272.36415118207248      ,   578.63575701596426      ,  -94.904242010077553      ,  5.96425060715773982E-003 ,  1.00633152524601775E-003 ,  3.43951443445589186E-017
 -6.78569558644919867E-003 , -9.52282171918750718E-003 ,  2.63289898261288109E-003 ,   270.27647801658082      ,  -323.71639934123857      ,   131.71460629304150      ,  1.19859065214121124E-002 ,  8.64049446190244129E-004 ,  4.96368529788224215E-018
  2.24697716052619243E-003 , -2.63043922797822011E-003 , -5.02543552808375725E-004 ,  -254.40857962503344      ,   607.49432969074371      ,  -269.39576581905857      ,  3.49580704766185154E-003 ,  6.08133423542446083E-004 ,  1.06328780690009275E-015
 -9.97702701612032325E-003 , -1.48410511843107187E-002 ,  1.43599099974598267E-003 ,  -610.47528903322586      ,  -1009.6830971349838      ,   155.71472497845528      ,  1.79404553589666976E-002 ,  3.85377718455249564E-004 ,  1.24249142545921173E-018
 -1.54662490040059965E-002 ,  9.85690839328816001E-003 , -5.62731966558160501E-003 ,  -667.29840054988813      ,  -24.058543151838187      ,  -239.06111219332936      ,  1.91841139473844999E-002 ,  5.46695463781922517E-004 ,  5.16132219770441528E-018
  2.29407563032662425E-003 ,  2.55244955690328156E-004 , -1.00482797646411683E-003 ,  -274.62168172110842      ,  -126.78004668193104      ,  -185.51729453753163      ,  2.51746146889060204E-003 ,  5.15397202671775425E-004 ,  1.06227808565852257E-016
  2.60127590841903698E-002 , -4.87526813337803028E-003 , -2.72531485025512927E-003 ,   1596.6916472647642      ,   428.63029602328402      ,  -290.46274707668658      ,  2.66056237584740909E-002 ,  3.62292345696483382E-004 ,  8.74053141837516300E-019
  1.65762956056385823E-003 , -2.59339605468920376E-002 , -1.58592288421583738E-002 ,  -240.17720631224176      ,  -831.21529063006551      ,  -997.91116543123451      ,  3.04439351082568810E-002 ,  2.56164119691480708E-004 ,  1.50298924462432331E-019
  2.36281326052544460E-003 , -3.81091423667462900E-003 , -2.61671567541269510E-004 ,   507.51029191975960      ,   601.77098955707731      ,   329.07879167828099      ,  4.49159502099908368E-003 ,  3.77772742425227376E-004 ,  1.62621535865133882E-015
  3.08216230498866810E-002 ,  4.83821235562668060E-003 , -6.11310872120441034E-003 ,   1039.9033810593396      ,   446.77589393503786      ,  -256.74358965506860      ,  3.17923079449213622E-002 ,  3.64160418341776676E-004 ,  2.48242146396287622E-019
  1.64247984988160796E-002 , -4.98240350441595242E-003 , -1.98145819921039011E-003 ,   148.50413283643567      ,   234.76703796404212      ,   72.416333482403701      ,  1.72778623389221800E-002 ,  1.28876092043594389E-004 ,  1.71372459921452633E-017
  3.81806755827738611E-002 , -1.32936228285158858E-002 ,  6.29956024205967271E-003 ,   44.555989276017385      ,  -29.919762634830082      ,   29.039861150797041      ,  4.09166085484513470E-002 ,  5.72098814734476983E-004 ,  1.24502271181849816E-019
